Starting up round ID Gem853-18.27.47.
-------------------------
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 94, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has grabbed *no key*/(Ian) passive grab (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has grabbed *no key*/(Ian) passive grab (NEWHP: 0)  (indoors rt (71, 62, 9))
ATTACK: P1wewe/(Nemis Blach) has grabbed *no key*/(Ian) passive grab (NEWHP: 0)  (indoors rt (71, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [hearth] with the sickle (indoors rt (82, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with shovel (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with shovel (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [hearth] with the sickle (indoors rt (82, 62, 8))
