Starting up round ID Sherax558-20.05.57.
-------------------------
ATTACK: Niconato/(Urima) has attacked [wooden window] with the torch (wilderness (101, 22, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [chair] with the steel dagger (indoors rt (67, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [chair] with the steel dagger (indoors rt (67, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [chair] with the steel dagger (indoors rt (67, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [chair] with the steel dagger (indoors rt (67, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [chair] with the steel dagger (indoors rt (67, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [chair] with the steel dagger (indoors rt (67, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [branch] with the steel dagger (wilderness (70, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [branch] with the steel dagger (wilderness (70, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [branch] with the steel dagger (wilderness (70, 80, 8))
ATTACK: Niconato/(Urima) has attacked [goblet] with the torch (wilderness (58, 70, 8))
ATTACK: P1wewe/(Chloeyaz) has fired at [dirt] with the bolt from wilderness (wilderness (49, 80, 8))
ATTACK: *no key*/(Frank) has died (BRUTE: 0, BURN: 0, TOX: 0, OXY: 200, CLONE: 0) (the bog (91, 113, 10))
ATTACK: Niconato/(Urima) has attacked [sconce] with the mace (wilderness (108, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the torch (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the torch (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [gate] with the steel dagger (wilderness (109, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [gate] with the steel dagger (wilderness (109, 19, 8))
ATTACK: Niconato/(Urima) has attacked [gate] with the mace (wilderness (110, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (105, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (wilderness (107, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (wilderness (106, 19, 8))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (104, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (105, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (105, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (105, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (indoors rt (105, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (indoors rt (105, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (indoors rt (105, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (indoors rt (105, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (indoors rt (105, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (indoors rt (105, 24, 8))
ATTACK: Niconato/(Urima) has attacked [wooden window] with the mace (indoors rt (106, 24, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [wooden window] with the steel dagger (indoors rt (105, 24, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [window] with the steel dagger (wilderness (121, 33, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has thrown the shard (wilderness (121, 32, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: Niconato/(Urima) has attacked [window] with the mace (wilderness (121, 34, 8))
ATTACK: P1wewe/(Chloeyaz) has thrown the chain (indoors rt (116, 33, 8))
ATTACK: P1wewe/(Chloeyaz) has thrown Tome of Justice (indoors rt (113, 34, 8))
ATTACK: Niconato/(Urima) has attacked [bed] with the mace (indoors (72, 64, 4))
ATTACK: Niconato/(Urima) has attacked [bed] with the mace (indoors (73, 64, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 68, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: TOUCH) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: thegodguy/(Jarak) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (97, 69, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked [door] with the steel dagger (outdoors (92, 100, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked [door] with the steel dagger (outdoors (92, 100, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked [door] with the steel dagger (outdoors (92, 100, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked [door] with the steel dagger (outdoors (92, 100, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked [door] with the steel dagger (outdoors (92, 100, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked [barrel] with the steel dagger (outdoors (95, 83, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked [barrel] with the steel dagger (outdoors (95, 83, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked [barrel] with the steel dagger (outdoors (95, 83, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked [barrel] with the steel dagger (outdoors (95, 83, 4))
ATTACK: thegodguy/(Jarak) has died (BRUTE: 0, BURN: 0, TOX: 0, OXY: 200, CLONE: 0) (outdoors (95, 71, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked [barrel] with the steel dagger (outdoors (94, 82, 4))
ATTACK: P1wewe/(Chloeyaz) has shaken thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has shaken thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has shaken thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has shaken thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has shaken thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has shaken thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has shaken thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has grabbed thegodguy/(Jarak) passive grab (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has grabbed thegodguy/(Jarak) aggressive grab (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has shaken thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 71, 4))
ATTACK: P1wewe/(Chloeyaz) has punched thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has punched thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has punched thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has punched thegodguy/(Jarak) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with steel dagger (INTENT: STAB) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with steel dagger (INTENT: STAB) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with steel dagger (INTENT: STAB) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
ATTACK: P1wewe/(Chloeyaz) has attacked thegodguy/(Jarak) with steel dagger (INTENT: STAB) (DAMTYPE: BRUTE) (NEWHP: -100)  (outdoors (95, 70, 4))
